id,lat,lon,user,uid,version,changeset,timestamp
361186658,52.008666,4.2295617,nimapper,36080,2,6544653,2010-12-04T22:10:03Z
364088538,51.9037522,4.2098111,textlijn,161542,4,6527981,2010-12-03T17:07:38Z
364300051,52.0261686,4.3299167,nimapper,36080,1,838960,2009-03-21T08:25:01Z
364429861,51.9658918,4.3907172,nimapper,36080,2,13162866,2012-09-18T21:35:10Z
365993560,52.0240603,4.3577078,nimapper,36080,1,861139,2009-03-26T19:58:47Z
367667726,52.0111573,4.3685871,pieleric,352940,3,24642893,2014-08-09T21:26:34Z
368369480,52.006083,4.3929349,textlijn,161542,2,3754369,2010-01-30T20:12:59Z
369937462,51.9918891,4.3154937,nimapper,36080,1,211154,2009-04-05T09:09:54Z
369939698,51.9973148,4.3214804,nimapper,36080,2,2170693,2009-08-16T21:06:08Z
370121553,51.9938477,4.3162742,nimapper,36080,1,227351,2009-04-05T19:48:52Z
370623512,51.9965498,4.3712036,datalogg,105512,2,12537186,2012-07-29T16:37:26Z
372749360,51.9568138,4.2266701,A67-A67,553736,3,29527440,2015-03-16T21:04:18Z
387904114,51.9530694,4.2525462,nimapper,36080,2,8948446,2011-08-07T15:38:05Z
387904183,51.9614242,4.2195161,nimapper,36080,4,13118317,2012-09-15T13:44:37Z
393437211,51.973218,4.246349,Chibi_T,69290,1,1144585,2009-05-10T20:42:26Z
403367623,51.9989483,4.3282417,nimapper,36080,1,1228279,2009-05-17T20:38:45Z
403411107,52.0150548,4.3312173,nimapper,36080,1,1228767,2009-05-17T21:08:25Z
409142181,51.9023358,4.3699202,textlijn,161542,2,5401956,2010-08-04T18:51:14Z
409817049,52.0283821,4.2901966,nimapper,36080,1,1289884,2009-05-22T20:46:32Z
417220088,52.0238531,4.2708683,marenko,149298,3,10671034,2012-02-13T08:42:59Z
428006426,52.0147696,4.4058315,sebastic,665748,3,25703285,2014-09-27T10:53:41Z
428007887,51.9707882,4.4058405,sebastic,665748,4,25818159,2014-10-02T19:45:13Z
428008051,52.0079415,4.3889555,sebastic,665748,4,25818159,2014-10-02T19:45:14Z
428008134,52.0007985,4.3877108,sebastic,665748,4,25818159,2014-10-02T19:45:15Z
428008195,51.9764146,4.4020554,sebastic,665748,4,25818159,2014-10-02T19:45:16Z
428008253,52.0208003,4.3881736,sebastic,665748,4,25818159,2014-10-02T19:45:17Z
428008312,52.0115615,4.3943261,sebastic,665748,4,25818159,2014-10-02T19:45:18Z
428008473,52.0266635,4.3798088,sebastic,665748,4,25818159,2014-10-02T19:45:19Z
429951835,52.0092717,4.2978059,nimapper,36080,1,1653510,2009-06-27T20:45:06Z
429952055,51.9763986,4.274406,Von Humboldt,579978,3,13547225,2012-10-18T17:24:13Z
429952261,51.9678372,4.2332926,nimapper,36080,1,1653510,2009-06-27T20:45:23Z
429952322,51.9648515,4.2469444,nimapper,36080,1,1653510,2009-06-27T20:45:25Z
429952391,51.9703874,4.2346945,nimapper,36080,1,1653510,2009-06-27T20:45:29Z
431444694,52.0086797,4.3928978,textlijn,161542,2,6664033,2010-12-15T00:36:53Z
433638651,51.9731617,4.3289183,nimapper,36080,1,1728145,2009-07-04T10:38:39Z
433638726,51.9680384,4.3415738,nimapper,36080,1,1728145,2009-07-04T10:38:42Z
433638871,51.9663585,4.3127638,nimapper,36080,1,1728145,2009-07-04T10:38:48Z
433638922,51.961419,4.3132795,nimapper,36080,1,1728145,2009-07-04T10:38:51Z
433638973,51.9511512,4.3189128,nimapper,36080,1,1728145,2009-07-04T10:38:52Z
433639065,51.9620289,4.3271958,nimapper,36080,1,1728145,2009-07-04T10:38:55Z
433639134,51.9636255,4.3286892,nimapper,36080,1,1728145,2009-07-04T10:38:57Z
433639210,51.9663059,4.3250739,nimapper,36080,2,2023016,2009-08-03T09:53:07Z
433639280,51.960904,4.3284302,nimapper,36080,1,1728145,2009-07-04T10:39:02Z
433639345,51.9652817,4.3178643,nimapper,36080,1,1728145,2009-07-04T10:39:05Z
433639403,51.9719648,4.3205516,nimapper,36080,1,1728145,2009-07-04T10:39:07Z
434114073,51.9726081,4.316773,nimapper,36080,2,9858527,2011-11-17T21:59:12Z
434114143,51.9758748,4.3215575,nimapper,36080,1,1733035,2009-07-04T20:50:22Z
434130081,51.9906333,4.3236086,nimapper,36080,1,1733189,2009-07-04T21:20:54Z
434130158,51.9789954,4.31414,nimapper,36080,1,1733189,2009-07-04T21:20:56Z
435477428,51.9616701,4.2080871,nimapper,36080,2,8229843,2011-05-23T19:57:32Z
435478048,51.9611349,4.217565,nimapper,36080,2,8487435,2011-06-19T18:31:50Z
435587223,51.9797994,4.2136704,nimapper,36080,1,1756098,2009-07-06T20:08:02Z
435587374,51.9825562,4.2115606,Jeroen Muris,203114,2,9651534,2011-10-25T11:47:03Z
436538015,51.9855782,4.2617511,nimapper,36080,1,1765301,2009-07-07T19:35:53Z
436538119,51.9813572,4.2464286,Von Humboldt,579978,2,13627677,2012-10-25T14:08:02Z
