id,node_id,position
4310410,26111974,0
4310410,3712852470,1
4310410,3712852469,2
4310410,3712852468,3
4310410,26111975,4
4310410,3712852471,5
4310410,1394405161,6
4310410,2432511997,7
4310410,2061796624,8
4310410,1476356181,9
4310410,1395256315,10
4310410,1395057432,11
4310410,3712852467,12
4310410,1394405170,13
4310410,26111973,14
4310410,26111974,15
6307379,3314825930,0
6307379,3314811260,1
6336481,298637108,0
6336481,44879689,1
6336481,44880806,2
6336481,44886351,3
6336481,44888109,4
6336481,44887703,5
6336481,298637110,6
6336481,44884127,7
6336481,44880808,8
6336481,298637115,9
6336481,298637116,10
6336481,298637117,11
6336481,298637120,12
6336481,298637121,13
6336481,298637118,14
6336481,298637119,15
6336481,298637114,16
6336481,298637113,17
6336481,298637112,18
6336481,298637111,19
6336481,298637108,20
7468501,1501364256,0
7468501,44912109,1
7468650,44881911,0
7468650,44882708,1
7468776,44894641,0
7468776,44895558,1
7478037,4395717972,0
7482991,1370329300,0
7482991,1518545048,1
7482991,1370329302,2
7482991,44902809,3
7482991,1518545121,4
7482991,1518545128,5
7482991,44905182,6
7488301,1346194502,0
7488301,1346194505,1
7488301,1346194513,2
7488301,1346194567,3
7488301,1346194600,4
7488301,1346194609,5
7493356,44916290,0
7493356,44920851,1
7498910,44911312,0
7498910,44912271,1
7498910,44912701,2
7498910,44911770,3
7501583,44914823,0
7501583,44915850,1
7501799,44902780,0
7501799,44902778,1
7501799,44903256,2
7501799,44903254,3
7501946,44892404,0
7501946,1826824334,1
7501946,4279891652,2
7501946,44891365,3
7501946,44890935,4
7501946,44890937,5
7501946,343374802,6
7501946,44891366,7
7518302,44317710,0
7518302,44317707,1
7518302,44318465,2
7518604,44334173,0
7518604,44336966,1
7518875,1030133412,0
7518875,44373540,1
7518875,44374159,2
7518875,602488456,3
7518875,602488457,4
7531775,44520499,0
7531775,44516085,1
7532598,44488982,0
7532598,44490081,1
7532806,44448814,0
7532806,44439727,1
7532806,603147410,2
7533059,800522094,0
7533059,800522091,1
7533059,44415470,2
7533059,4455027954,3
7533213,44398205,0
7533213,781731480,1
7533213,44400890,2
7533353,44387938,0
7533353,44388438,1
7533445,44392649,0
